代码,中文名,来源接口数,来源接口列表,查询时间
000001.SH,上证指数,1,get_stock_info,2026-07-14 01:31:24
000300.SH,沪深300,1,get_stock_info,2026-07-14 01:31:24
000688.SH,科创50,1,get_stock_info,2026-07-14 01:31:24
399001.SZ,深证成指,1,get_stock_info,2026-07-14 01:31:24
399006.SZ,创业板指,1,get_stock_info,2026-07-14 01:31:24
880001.SH,总市值 / 总市值指数(含27只成份股),2,get_stock_info | get_stock_list_in_sector,2026-07-14 01:31:24
880002.SH,流通市值,1,get_stock_info,2026-07-14 01:31:24
880003.SH,平均股价,1,get_stock_info,2026-07-14 01:31:24
880004.SH,成交均价,1,get_stock_info,2026-07-14 01:31:24
880005.SH,涨跌家数,1,get_stock_info,2026-07-14 01:31:24
880006.SH,停板家数,1,get_stock_info,2026-07-14 01:31:24
880007.SH,活筹市值,1,get_stock_info,2026-07-14 01:31:24
880008.SH,全Ａ等权,1,get_stock_info,2026-07-14 01:31:24
880081.SH,轮动趋势,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880082.SH,板块趋势,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880201.SH,黑龙江,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880202.SH,新疆板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880203.SH,吉林板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880204.SH,甘肃板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880205.SH,辽宁板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880206.SH,青海板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880207.SH,北京板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880208.SH,陕西板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880209.SH,天津板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880210.SH,广西板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880211.SH,河北板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880212.SH,广东板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880213.SH,河南板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880214.SH,宁夏板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880215.SH,山东板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880216.SH,上海板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880217.SH,山西板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880218.SH,深圳板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880219.SH,湖北板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880220.SH,福建板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880221.SH,湖南板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880222.SH,江西板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880223.SH,四川板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880224.SH,安徽板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880225.SH,重庆板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880226.SH,江苏板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880227.SH,云南板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880228.SH,浙江板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880229.SH,贵州板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880230.SH,海南板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880231.SH,西藏板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880232.SH,内蒙板块,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
880501.SH,含H股,2,get_sector_list(list_type=1) | get_stock_list(market=10),2026-07-14 01:31:24
